Stock,Weight,Name
NVDA,0.18,NVIDIA
GOOGL,0.07,Alphabet
AMZN,0.07,Amazon
MSFT,0.06,Microsoft
META,0.06,Meta Platforms
IBM,0.03,IBM
ADBE,0.02,Adobe
ACN,0.02,Accenture PLC
INTU,0.01,Intuit
INTC,0.01,Intel 
PATH,0,UiPath
BIDU,0,Baidu ADS
COF,0,Capital One
AI,0.01,C3ai
AMBA,0.01,Ambarella Ordinary Shares
SOUN,0.01,Sono-Tek Corporation
CRNC,0.01,Cerence
NNDM,0.01,Nano Dimension
SSTK,0.01,Shutterstock
XMTR,0.01,Xometry
