Stock,Weight,Name
AAPL,0.50,Apple Inc
TSLA,0.20,Tesla Inc
NVDA,0.10,NVIDIA Corporation
MSFT,0.05,Microsoft Corporation
GOOGL,0.05,Alphabet Inc Class A
META,0.05,Meta Platforms Inc Class A
AMZN,0.05,Amazon
